Step,CPU,Atoms,v_ncross1,v_ncross2,v_ncheater,v_ndead,v_mass
301,1056.6406,36620,11275,11329,14016,0,1.31E-11
302,1063.2288,36778,11316,11382,14080,0,1.31E-11
303,1069.6759,36929,11361,11431,14137,0,1.32E-11
304,1076.2161,37093,11408,11484,14201,0,1.32E-11
305,1082.8855,37234,11448,11526,14260,0,1.32E-11
306,1089.478,37386,11496,11572,14318,0,1.32E-11
307,1096.0876,37524,11545,11606,14373,0,1.33E-11
308,1102.672,37673,11588,11650,14435,0,1.33E-11
309,1109.2872,37819,11629,11699,14491,0,1.33E-11
310,1116.0255,37962,11674,11745,14543,0,1.33E-11
311,1122.8004,38120,11712,11789,14619,0,1.34E-11
312,1129.5004,38265,11767,11828,14670,0,1.34E-11
313,1136.3689,38416,11813,11871,14732,0,1.34E-11
314,1143.1356,38579,11859,11916,14804,0,1.34E-11
315,1149.9741,38721,11903,11965,14853,0,1.35E-11
316,1156.8672,38861,11941,12007,14913,0,1.35E-11
317,1163.6216,39025,11992,12063,14970,0,1.35E-11
318,1170.6454,39195,12062,12106,15027,0,1.35E-11
319,1177.5006,39345,12105,12157,15083,0,1.35E-11
320,1184.5597,39491,12157,12191,15143,0,1.36E-11
321,1191.5001,39664,12208,12247,15209,0,1.36E-11
322,1198.4415,39807,12252,12300,15255,0,1.36E-11
323,1205.4436,39955,12302,12340,15313,0,1.36E-11
324,1212.4313,40115,12361,12387,15367,0,1.37E-11
325,1219.4303,40281,12411,12435,15435,0,1.37E-11
326,1226.527,40469,12467,12491,15511,0,1.37E-11
327,1233.5877,40614,12503,12543,15568,0,1.37E-11
328,1240.8013,40769,12551,12587,15631,0,1.38E-11
329,1248.0576,40927,12605,12638,15684,0,1.38E-11
330,1255.4249,41075,12650,12684,15741,0,1.38E-11
331,1262.7739,41234,12698,12723,15813,0,1.38E-11
332,1269.9621,41404,12750,12770,15884,0,1.38E-11
333,1277.1827,41544,12802,12813,15929,0,1.39E-11
334,1284.6288,41720,12857,12867,15996,0,1.39E-11
335,1292.1032,41878,12906,12913,16059,0,1.39E-11
336,1299.5009,42034,12949,12962,16123,0,1.39E-11
337,1306.9186,42196,12995,13020,16181,0,1.40E-11
338,1314.47,42345,13046,13071,16228,0,1.40E-11
339,1321.8387,42530,13098,13126,16305,1,1.40E-11
340,1329.5415,42686,13150,13172,16362,2,1.40E-11
